featureNumber,network,superclass,class,subclass,Compound_Name,FSW,PPL,size
2582,1508,Organic acids and derivatives,Hydroxy acids and derivatives,Medium-chain hydroxy acids and derivatives,NA,88540.945,206952.2033333333,5.315870054512641
2584,1508,Organic acids and derivatives,Hydroxy acids and derivatives,Medium-chain hydroxy acids and derivatives,NA,58372.3725,121457.871,5.084425664230514
2607,4001,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,"Massbank:FIO00378 N,N-Diethyl-3-methoxybenzamide",99638.788,678917.5,5.831817003335579
2608,4001,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,"Massbank:FIO00378 N,N-Diethyl-3-methoxybenzamide",417252.70999999996,1719937.9,6.235512766573709
2621,10015,Unknown,NA,NA,NA,132954.39,371696.11333333334,5.570188019888539
2637,3226,Unknown,NA,NA,NA,1156.245175,295975.73,5.471256100385907
2638,3226,Unknown,NA,NA,NA,4568.38135,497916.4066666667,5.697156436794452
2639,3226,Unknown,NA,NA,NA,1585.6914,292306.68,5.465838740277006
2640,3226,Unknown,NA,NA,NA,1517.31125,91468.69166666667,4.961272467146585
2641,3226,Unknown,NA,NA,NA,1147.735425,524566.2133333334,5.7198003147800085
2642,3226,Unknown,NA,NA,NA,0,116058.33133333334,5.06467632206226
2676,10015,Unknown,NA,NA,NA,38430.479,69563.10166666667,4.842378938004149
2693,1111,Lipids and lipid-like molecules,NA,NA,NA,241685.065,1178187.3533333333,6.071214356706692
2694,1111,Lipids and lipid-like molecules,NA,NA,NA,168627.765,422928.14333333337,5.626266585803541
2695,1111,Lipids and lipid-like molecules,NA,NA,NA,689593.158,888973.3166666667,5.948888725426522
2697,1111,Lipids and lipid-like molecules,NA,NA,NA,99980.17,603313.5133333333,5.780543052981534
2707,3226,Unknown,NA,NA,NA,85486.344,173752.30666666667,5.239930578821607
2710,1111,Lipids and lipid-like molecules,NA,NA,NA,462419.55000000005,687371.3133333334,5.837191403388923
2711,1111,Lipids and lipid-like molecules,NA,NA,NA,296707.775,868792.8133333334,5.93891621976942
2712,1111,Lipids and lipid-like molecules,NA,NA,NA,1075710.15,1991915.1666666667,6.299270838388343
2713,1111,Lipids and lipid-like molecules,NA,NA,NA,174825.75,297667.82333333336,5.4737318917376685
2714,1111,Lipids and lipid-like molecules,NA,NA,NA,671415.25,1035212.9333333333,6.0150296891749075
2809,3689,Lipids and lipid-like molecules,Fatty Acyls,NA,NA,27137.228499999997,110798.00133333333,5.044531926297344
2825,3689,Lipids and lipid-like molecules,Fatty Acyls,NA,NA,56816.883499999996,92112.40533333333,4.964318123193683
2830,3689,Lipids and lipid-like molecules,Fatty Acyls,NA,NA,98378,141204.00833333333,5.149847025131792
2841,331,Lipids and lipid-like molecules,NA,NA,NA,9214.2228,167268.83666666667,5.223415036453305
2846,331,Lipids and lipid-like molecules,NA,NA,NA,22119.855499999998,116672.49166666667,5.066968472792373
2847,331,Lipids and lipid-like molecules,NA,NA,NA,27415.646,99970.28666666667,4.999870937457603
